ADAL,0,-1
ADAR,1,1
ADEL,2,1
ADER,3,-1
ADFL,4,1
ADFR,5,-1
ADLL,6,1
ADLR,7,1
AFDL,8,-1
AFDR,9,1
AIAL,10,-1
AIAR,11,-1
AIBL,12,1
AIBR,13,-1
AIML,14,1
AIMR,15,1
AINL,16,1
AINR,17,-1
AIYL,18,1
AIYR,19,1
AIZL,20,-1
AIZR,21,1
ALA,22,1
ALML,23,1
ALMR,24,1
ALNL,25,-1
ALNR,26,-1
AQR,27,1
AS1,28,-1
AS10,29,-1
AS11,30,1
AS2,31,-1
AS3,32,-1
AS4,33,1
AS5,34,-1
AS6,35,1
AS7,36,-1
AS8,37,-1
AS9,38,1
ASEL,39,-1
ASER,40,-1
ASGL,41,-1
ASGR,42,1
ASHL,43,1
ASHR,44,1
ASIL,45,1
ASIR,46,1
ASJL,47,1
ASJR,48,1
ASKL,49,-1
ASKR,50,-1
AUAL,51,1
AUAR,52,1
AVAL,53,-1
AVAR,54,-1
AVBL,55,1
AVBR,56,1
AVDL,57,-1
AVDR,58,-1
AVEL,59,-1
AVER,60,1
AVFL,61,1
AVFR,62,-1
AVG,63,1
AVHL,64,-1
AVHR,65,1
AVJL,66,1
AVJR,67,-1
AVKL,68,1
AVKR,69,-1
AVL,70,-1
AVM,71,-1
AWAL,72,-1
AWAR,73,-1
AWBL,74,-1
AWBR,75,-1
AWCL,76,-1
AWCR,77,-1
BAGL,78,1
BAGR,79,-1
BDUL,80,1
BDUR,81,-1
CEPDL,82,-1
CEPDR,83,-1
CEPVL,84,-1
CEPVR,85,1
DA1,86,-1
DA2,87,1
DA3,88,1
DA4,89,1
DA5,90,1
DA6,91,1
DA7,92,1
DA8,93,1
DA9,94,-1
DB1,95,1
DB2,96,-1
DB3,97,-1
DB4,98,1
DB5,99,-1
DB6,100,1
DB7,101,1
DD1,102,1
DD2,103,-1
DD3,104,1
DD4,105,1
DD5,106,-1
DD6,107,1
DVA,108,1
DVB,109,-1
DVC,110,-1
FLPL,111,1
FLPR,112,1
HSNL,113,-1
HSNR,114,-1
I1L,115,1
I1R,116,-1
I2L,117,-1
I2R,118,-1
I3,119,1
I4,120,-1
I5,121,1
I6,122,1
IL1DL,123,-1
IL1DR,124,1
IL1L,125,1
IL1R,126,-1
IL1VL,127,1
IL1VR,128,-1
IL2DL,129,-1
IL2DR,130,-1
IL2L,131,-1
IL2R,132,-1
IL2VL,133,1
IL2VR,134,-1
LUAL,135,1
LUAR,136,-1
M1,137,-1
M2L,138,1
M2R,139,1
M3L,140,-1
M3R,141,-1
M4,142,-1
M5,143,1
MCL,144,1
MCR,145,1
MI,146,1
NSML,147,-1
NSMR,148,-1
OLLL,149,-1
OLLR,150,1
OLQDL,151,-1
OLQDR,152,-1
OLQVL,153,1
OLQVR,154,-1
PDA,155,1
PDB,156,-1
PDEL,157,1
PDER,158,1
PHAL,159,-1
PHAR,160,-1
PHBL,161,1
PHBR,162,1
PHCL,163,-1
PHCR,164,-1
PLML,165,-1
PLMR,166,-1
PLNL,167,-1
PLNR,168,1
PQR,169,-1
PVCL,170,1
PVCR,171,-1
PVDL,172,-1
PVDR,173,-1
PVM,174,1
PVNL,175,-1
PVNR,176,1
PVPL,177,1
PVPR,178,-1
PVQL,179,-1
PVQR,180,1
PVR,181,-1
PVT,182,1
PVWL,183,-1
PVWR,184,1
RIAL,185,-1
RIAR,186,1
RIBL,187,1
RIBR,188,1
RICL,189,-1
RICR,190,-1
RID,191,-1
RIFL,192,1
RIFR,193,1
RIGL,194,1
RIGR,195,-1
RIH,196,-1
RIML,197,1
RIMR,198,1
RIPL,199,1
RIPR,200,1
RIR,201,-1
RIS,202,-1
RIVL,203,1
RIVR,204,-1
RMDDL,205,1
RMDDR,206,1
RMDL,207,-1
RMDR,208,-1
RMDVL,209,1
RMDVR,210,-1
RMED,211,1
RMEL,212,1
RMER,213,-1
RMEV,214,1
RMFL,215,1
RMFR,216,-1
RMGL,217,1
RMGR,218,-1
RMHL,219,1
RMHR,220,-1
SAADL,221,-1
SAADR,222,-1
SAAVL,223,1
SAAVR,224,-1
SABD,225,-1
SABVL,226,1
SABVR,227,-1
SDQL,228,-1
SDQR,229,1
SIADL,230,-1
SIADR,231,1
SIAVL,232,1
SIAVR,233,1
SIBDL,234,-1
SIBDR,235,1
SIBVL,236,1
SIBVR,237,1
SMBDL,238,-1
SMBDR,239,-1
SMBVL,240,-1
SMBVR,241,-1
SMDDL,242,1
SMDDR,243,-1
SMDVL,244,-1
SMDVR,245,1
URADL,246,-1
URADR,247,1
URAVL,248,-1
URAVR,249,-1
URBL,250,1
URBR,251,1
URXL,252,-1
URXR,253,-1
URYDL,254,-1
URYDR,255,1
URYVL,256,-1
URYVR,257,1
VA1,258,-1
VA10,259,-1
VA11,260,1
VA12,261,-1
VA2,262,1
VA3,263,-1
VA4,264,1
VA5,265,-1
VA6,266,-1
VA7,267,-1
VA8,268,1
VA9,269,1
VB1,270,-1
VB10,271,-1
VB11,272,-1
VB2,273,1
VB3,274,-1
VB4,275,1
VB5,276,1
VB6,277,1
VB7,278,1
VB8,279,1
VB9,280,1
VC1,281,1
VC2,282,1
VC3,283,1
VC4,284,-1
VC5,285,-1
VD1,286,1
VD10,287,-1
VD11,288,1
VD12,289,-1
VD13,290,1
VD2,291,1
VD3,292,1
VD4,293,-1
VD5,294,1
VD6,295,-1
VD7,296,-1
VD8,297,1
VD9,298,1
